,en,ru
18,"But when politics is only management of mistrust, then — I'm very glad that ""1984"" has been mentioned — now we're going to have ""1984"" in reverse.","Но когда политика заключается только в управлении недоверием, тогда — и я очень рад, что роман « 1984 » уже упоминался, — тогда у нас будет « 1984 » наоборот."
19,"And networks make it harder for people to do that, because they drive attention to the things that the network values.","И сети делают это всё более труднодостижимым для людей, потому что они привлекают внимание людей к тем вопросам, которые важны для сети."
20,"In the biological sciences, they explored the implications of the notion that order and complexity and structure arise in a self-organized way.","Биология последовательно делала выводы о роли самоорганизации при возникновении структур, порядка, сложности."
21,"To keep safe in my work, I try not to take bookings from someone who calls me from a withheld number.","Чтобы остаться целой и невредимой, я стараюсь не принимать заказы от тех, кто звонит со скрытого номера."
22,"But what struck me about them was that whenever her husband changed the baby's diaper, she said ""thank you"" to him.","Но меня больше всего поразило, что, когда её муж менял ребёнку подгузник, она говорила ему « Спасибо »."
23,So how do we present and justify that idea of global versus wholly nationalist to people in countries like Ghana and Nigeria and Togo and other countries like that?,"Поэтому что можно было бы сказать в защиту этой глобальной идеи в противовес чистому национализму людям в таких странах, как Гана, Нигерия, Того и подобным им странам? Спасибо."
24,"It would be a crime for all of us not to be aware when somebody shows up at a swimming pool and says one word, just one word, if you don't listen if that word is ""lifecode.""","Нельзя не замечать, что кто-то ведёт нас к бассейну и говорит одно только слово, и не услышать, что слово это — « жизненный код »."
25,"By seven months of gestation, the fetus' taste buds are fully developed, and its olfactory receptors, which allow it to smell, are functioning.","К седьмому месяцу беременности, вкусовые рецепторы плода полностью развиты и его обонятельная система уже функционирует."
26,"So if we were to have some kind of global governance, what makes you think it would end up being more like Denmark rather than more like Russia or Honduras, and aren't there alternatives, such as we did with CFCs?","Допустим, у нас будет некое глобальное правительство, почему вы думаете, что оно будет больше походить на Данию, чем на Россию или Гондурас, и разве нет альтернатив, таких как в случае с ХФУ?"
27,This is a reconstruction of Notre Dame Cathedral that was done entirely computationally from images scraped from Flickr.,"Это реконструкция собора Парижской Богоматери, полностью выполненная с помощью компьютера на основе изображений, собранных на сервисе Flickr."
28,So could you imagine ways of passively loading and unloading bone so that you can recreate or regenerate degenerating cartilage?,"Так есть ли способы пассивно нагружать и разгружать кости, чтобы можно было воссоздать разрушающийся хрящ?"
29,"And with them, we made sure that they understood how their day-to-day actions were impacting our ability as a country to create new jobs and to attract investments.","И вместе с ними мы убедились, что они поняли как их каждодневная работа влияла на наши возможности в стране создавать новые рабочие места и привлекать инвестиции."
30,"You can see it getting up into the mangrove, but it is not harming the corals or the sea grass, right.","Видно, как она продвигается к мангровым зарослям, но не приносит вреда кораллам или водорослям, вот так."
31,"And brace yourself, executives, because I'm going to be putting companies on the hot seat to step up and play the role that I know they can.","И держитесь, руководители, потому что я собираюсь заставить компании взять на себя роль, которую, я уверена, они смогут сыграть."
32,"Many years ago, when I was a young congressman, I spent an awful lot of time dealing with the challenge of nuclear arms control — the nuclear arms race.","Много лет назад, когда я был молодым конгрессменом, я уйму времени уделял вопросу контроля над ядерным оружием, гонки ядерных вооружений."
33,"And as the victims' families and the city and the country reeled in shock, investigators tried to find out who was responsible.","И пока семьи погибших, весь город и вся страна пребывали в шоке, следователи пытались найти виновных."
34,For nothing in my life's path would have predicted that I'd be standing here as the first African-American First Lady of the United States of America.,"Ведь я никогда в моей прежней жизни не предполагала, что буду стоять здесь в лице первой Афро-американской Первой Леди Соединённых Штатов Америки."
35,So those of you who recognized the first group of names know that these were African-Americans who have been killed by the police over the last two and a half years.,"Итак, те из вас, кто узнали первую группу имён, знают, что это имена афроамериканцев, убитых полицейскими за последние два с половиной года."
36,"If we love such moments ferociously, then maybe we can learn to live well — not in spite of death, but because of it.","Если мы так неистово любим эти моменты, то, вероятно, можно научиться жить лучше не вопреки смерти, а из-за неё."
37,Then there was the congregation who had left their usual church building on the shore to hold a service in the hills.,"А прихожане одной из церквей, вместо своей церкви, построенной на берегу, куда ходили всегда, решили пойти в другую, расположенную на холме."
38,"And if you look through the eye, or you look at the vessels on the white of the eye, in fact, you may be able to do this directly, without drawing any blood at all, or through your nail beds.","Если посмотреть сквозь глаз, или на сосуды на белке глаза, это можно сделать напрямую, совсем без забора крови, или же через лунки ногтя."
39,"When my little kids — when my kids were little — they're all grown now, I have grandkids — I used to go in and sit on the side of their bed, and I used to watch my kids sleep.","Когда мои маленькие дети были маленькими — сейчас они все выросли, у меня уже внуки — я бывало заходил и сидел на их кровати, и смотрел как они спят."
40,"And so I've stopped using words like ""form,"" and I've stopped using words like ""function"" as a designer.","Поэтому я перестал использовать слово « форма », и, как дизайнер, я перестал использовать такие слова как « функция »."
41,"So if you're coding climate — this much CO2, this much O2 creates a recipe — you're coding the expression of that plant, the nutrition of that plant, the size of that plant, the shape, the color, the texture.","Так что если программировать климат — столько-то CO2, столько-то O2 по рецепту — вы кодируете характеристики растения, его питательные свойства, его размер, форму, цвет, текстуру."
42,"And so we had our first meeting, after three months, in Tiburon, which is just up the road from here — you know Tiburon?","Итак, наша первая встреча состоялась спустя три месяца в Тибуроне, что находится здесь, совсем рядом — вы же знаете Тибурон?"
43,"Take it a bit further than just cleaning our living room, where maybe we make it to sort like a life hygiene.","Смотря на это чуть шире, чем просто как на уборку в доме, возможно, мы сможем достичь чего-то вроде гигиены жизни."
44,"You can also see that his visual cortex is activated in the back of the head, because that's where he's seeing, he's seeing his own brain.","Вы видите, что в задней части головы активирована зрительная кора головного мозга, потому что ею он видит, видит свой собственный мозг."
45,"Of course, it was also a hard and sometimes frustrating time, but we were sitting together in the lab, or occasionally in the café, sharing our sadness about the end of our project as well as the joy in our work.","Конечно, это было тяжёлое время, иногда у нас почти опускались руки, но мы сидели вместе в лаборатории, или, скажем, в кафе, разделяя как печаль от скорого окончания проекта, так и наслаждение от работы."
46,"The book ""A Thousand Places To See Before You Die"" lists Coeur d'Alene — it's a gorgeous paradise for huntsmen, boatmen and fishermen.","В книге « Тысяча мест, которые нужно увидеть перед смертью » есть Кёр-д ’ Ален — это рай для охотников, любителей лодочных прогулок и рыбаков."
47,"If we're going to look for these stealth black holes at the center of galaxies, the best place to look is in our own galaxy, our Milky Way.","Если мы хотим взглянуть на эти хитрые чёрные дыры в центре галактик, то лучшее место — это наша собственная галактика, наш Млечный Путь."
48,"I do wish, with their budget, that they might have spent just a tiny bit more money to pay a consulting fee to some poor, starving graduate student, who could have told them that those are the eyes of a fish that's been preserved in formalin.","Мне бы хотелось, чтоб, при их финансовых возможностях, они могли бы потратить немного больше, оплатив консультационные услуги какого-нибудь бедного, голодающего студента, который мог бы сообщить им, что это - глаза рыбы, сохраненной в формалине."
49,"Its creator, who is an Egyptian TV producer called Ahmed Abu Haïba, wants young people to be inspired by Islam to lead better lives.","Его создатель - египетский ТВ продюссер по имени Ахмед Абу Хаиба, хочет, чтобы молодые люди вдохновлялись исламом на пути к лучшей жизни."
50,"And the Chinese then, in one of their periods of media openness, decided that they were going to let it go, that they were going to let this citizen reporting fly.","Китай, в период краткосрочной гласности, решил закрыть на это глаза и позволить гражданам вести репортажи с места событий."
51,"What happened, apparently, is during the first bounce, somewhere, we hit the edge of a crater with one of the legs of the lander, and the rotation velocity of the lander changed.","Похоже, что во время первого отскока модуль как-то задел одной из посадочных опор край кратера, и вектор его угловой скорости поменялся."
52,"What we do is put very small GPS collars on these animals to study how they move together, and what this has to do with their social structure.","Мы одели крошечные GPS ошейники на этих животных, чтобы изучить, как они перемещаются вместе и как это соотносится с их социальной структурой."
53,"A woman came on the fourth day and approached her and asked her to take another child — a little boy, just four years old.",На четвёртый день к ней приблизилась женщина и попросила взять ещё одного ребёнка — маленького четырёхлетнего мальчика.
54,"Then I thought, ""Why not make a Google Map, but in the physical world?"" Rather than typing a keyword to find something, I put my objects on top of it.","Затем я подумал, « Почему бы мне не перенести Google Map в физический мир? » Вместо того чтобы набирать на клавиатуре поисковый запрос, я поместил предметы на неё."
55,And then we would put all of this into place in one neighborhood in what was the worst police district in the United States at the time.,"Мы начали нашу работу в одном районе, который был худшим полицейским округом в Соединенных Штатах в то время."
56,"So here I had the hope that by inserting some natural elements, if you want — some fog — I could make the space tangible.","И поэтому я надеялся, что добавив некоторые естественные элементы такие, как дым, я сделаю пространство осязаемым."
57,"I mean, first of all, a lot of people who look at risk and look at the numbers don't understand this belief that terrorism is still the number one threat.","Прежде всего, многие их тех, кто смотрит на риски и на статистику, не могут понять, почему терроризм всё ещё считается « угрозой № 1 »."
58,"We have thousands and thousands of European fighters in Syria and in Iraq, so this is not something that you solve by just not allowing Syrians to come in.","Тысячи и тысячи боевиков из Европы теперь в Сирии и Ираке, и эту проблему нельзя разрешить, просто запретив въезд сирийцам."
59,"So our job as humans is to parent our mind children, to find them good friends, to find them a good job.","Наша задача как людей — быть хорошими родителями для порождений нашего разума, находить им хороших друзей, находить им достойное занятие."
60,"Poisoning is happening to flocks that like to stick together, especially in places like rice schemes.","Отравление случается в стаях, которые любят держаться вместе, особенно в таких местах, как рисовые поля."
61,"But as you do this, what you see is that the branches intersect actually in millions of locations, and at each of these intersections they can form a synapse.","Но по мере этого процесса выяснилось, что пунктов пересечения ветвей – миллионы, и в каждом из этих пунктов они могут образовать синапс."
62,"And that the highest human calling is to look for this light, to point at it when we see it, to gather it up, and in so doing, to repair the world.","И высочайшее призвание человека заключается в том, чтобы искать этот свет, указывать на него когда мы его видим, собирать его, и таким образом, совершенствовать мир."
63,"Conventions of how trust is built, managed, lost and repaired — in brands, leaders and entire systems — is being turned upside down.","Принципы формирования, использования, потери и возврата доверия к брендам, лидерам и целым системам переворачиваются с ног на голову."
64,"Or imagine dating services, like maybe Tinder or something, where instead of measuring the number of swipes left and right people did, which is how they measure success today, instead measured the deep, romantic, fulfilling connections people created.","Или, например, сервисы свиданий вроде Tinder, где вместо определения количества « свайпов » влево и вправо — так они измеряют успех сейчас — он будет измеряться созданными глубокими, романтичными, полноценными отношениями."
65,And so I hope that maybe I'll have an opportunity to kind of explore my rocketry passion at the same time that I explore my nuclear passion.,"Так что я надеюсь, что, может быть, у меня будет возможность как бы попробовать себя в своей страсти к ракетостроению, так же как я пробую себя в ядерной физике."
66,"It was during the design of the first toilet that I went for lunch, invited by the family into their main room of the house.","Во время проектировки первого туалета одна семья пригласила меня на обед к себе, в главную комнату их дома."
67,"If you had 100 million people properly spread out, then if there's some garbage, you throw it away, preferably where you can't see it, and it will rot.","Если бы на Земле было 100 миллионов человек, равномерно распределённых по территории, то тогда мусор можно просто выкидывать, желательно туда, где никому не видно, и где он сгниёт."
68,"And if we handicap ourselves with play, we handicap ourselves as if we would with any other birthright that we have.","Если мы лишаем себя игры, мы обедняем себя, как в случае с любой другой чертой, данной нам генетически."
69,And I hope that I've convinced you maybe that it's important to understand things about the epidemic in order to think about policy.,"И я надеюсь, что, может быть, я убедила вас в том, что важно понимать многие вещи об эпидемии, чтобы думать о стратегии борьбы с ней."
70,"She lands months before the Beatles release ""The White Album,"" months before Martin Luther King was killed.","Она приезжает за месяцы до выпуска « Белого Альбома » Битлз, за месяцы до убийства Мартина Лютера Кинга."
71,"The truth of it all comes on the moment, organically, and if you get five great moments of great, organic stuff in your storytelling, in your film, your film, audiences will get it.","Истина приходит в мгновение, органично и, если вам удастся снять пять сильных моментов чего-то впечатляющего и органичного, когда вы рассказываете историю в своём фильме, зрители увидят это."
72,"And what I responded to was, you know, Art Nouveau, or deco, or Victorian typography, or things that were just completely not Helvetica.","И что я нашла, знаете, Ар-нуво, или ар-деко, или викторианская типографика, или другие вещи, абсолютно непохожие на Гельветику."
73,"So as more and more of our lives become digital, we are fighting a losing battle trying to curb our usage of devices in order to reclaim our emotions.","По мере того, как наша жизнь всё больше становится цифровой, мы ведём безнадёжную борьбу, пытаясь обуздать применение устройств, чтобы вернуть нам наши эмоции."
74,"So on the one hand, a city saves money for its residents by being more walkable and more bikeable, but on the other hand, it also is the cool kind of city that people want to be in these days.","Получается, с одной стороны, город экономит деньги для своих жителей, будучи более доступным для пешеходов и велосипедистов, но с другой стороны, это также классный город, в котором в наши дни люди хотят находиться."
75,"The repetition of the same signs, for so long, and at so many sites tells us that the artists were making intentional choices.","Повторение тех же самых символов за такой длинный период в стольких местах говорит о том, что художники выбирали их намеренно."
76,"We could have found new effects of drugs that neither of them has alone, but together, instead of causing a side effect, they could be a new and novel treatment for diseases that don't have treatments or where the treatments are not effective.","Мы могли обнаружить новые эффекты препаратов, которых у них по одиночке не было бы, но вместе, вместо побочного эффекта, они могли бы предложить совершенно новую терапию болезней, считавшихся неизлечимыми или плохо поддающимися лечению."
77,This man ran across four lanes of freeway traffic in the middle of the night to bring me back to safety after a car accident that could have killed me.,"Этот мужчина ночью пересёк четыре полосы автострады, чтобы забрать меня в безопасное место после автомобильной аварии, в которой я могла погибнуть."
78,"If this feels even slightly out-there or farfetched, today there's a little-known bill being passed through the American congress known as HR 1313, Preserving Employee Wellness Programs Act.","Если это вам кажется неактуальной или надуманной проблемой, в наши дни Американский конгресс рассматривает малоизвестный законопроект HR 1313, об оздоровительных программах для сотрудников."
79,"Given this rare opportunity to start fresh, they chose liberal arts as the most compelling model because of its historic commitment to furthering its students' broadest intellectual, and deepest ethical potential.","Имея столь редкую возможность начать с чистого листа, они выбрали модель либерального образования как самую привлекательную модель, из-за ее исторической направленности на развитие широкого интеллектуального и глубокого этического потенциала студента."
80,"If things worked better because you actually had somebody organizing them, you had firms, if you wanted to be in the market — or you had governments or sometimes larger non-profits in the non-market.","Если все складывалось хорошо, потому что кто-то все организовал, у нас были фирмы, если мы хотели быть на рынке, или у нас были правительства, или иногда большие некоммерческие организации, вне рынка."
81,"And that is that we all in this room learned how to walk, how to talk, not by being taught how to talk, or taught how to walk, but by interacting with the world, by having certain results as a consequence of being able to ask for something, or being able to stand up and reach it.","Все присутствующие здесь учились ходить и говорить, но нас не обучали, как говорить и ходить; мы научились благодаря взаимодействию с миром, благодаря тому, что могли или попросить дать нам какую-либо вещь, или встать и дотянуться до неё."
82,"And so, with this sort of idea, what happens is, whatever actually is in the building on opening day, or whatever seems to be the most immediate need, starts to dwarf the possibility and sort of subsume it, of anything else could ever happen.","Итак, с концепцией такого рода становится неважно, что происходит — день ли это открытия в здании или самое важное на данный момент мероприятие, оно начинает ограничивать возможность включения всего, что может произойти потом."
83,"Since you have to pay for the nurse anyway, the cost per immunization ends up being cheaper if you give incentives than if you don't.","Так как вам приходится платить за уход за больными, выходит, что цена вакцинации оказывается ниже, даже если потратиться на мотивацию."
84,"So to compensate, I'd hold the pen tighter, and this progressively made the shake worse, so I'd hold the pen tighter still.","Я старался держать ручку крепче, но дрожь от этого становилась только сильнее, а, в ответ, я сжимал её ещё сильнее."
85,"Now, if we do this, I believe we can go back 50 years and start reinjecting agency, social engineering, back into architecture.","Если мы будем это делать, я думаю, мы сможем вернуться на 50 лет назад и начнём возвращать деятельность, социальную инженерию, обратно в архитектуру."
86,"Milton Glaser, the great graphic designer whose beautiful visualizations you see here, and who today is 85 — all those years "" a ripening and an apotheosis,"" wrote Nabokov — noted to me that, like art and like color, literature helps us to remember what we've experienced.","Милтон Глейзер, выдающийся графический дизайнер, создавший эти прекрасные визуализации и которому сейчас 85 лет — « созревание и кульминация » писал об этом возрасте Набоков, — заметил в разговоре со мной, что, как искусство и цвет, литература помогает нам вспомнить, что мы пережили."
87,"Again, we had just reactivated the memory of the blue box while the animal got a couple of mild foot shocks, and now the animal suddenly freezes.","Напомним, мы восстановили воспоминание о голубой коробке в то время, когда мышь получала небольшое электроболевое раздражение лап, а теперь животное внезапно застыло."
88,"We leave our money for 10 to 15 years, and when we get it back, we invest in other innovations that focus on change.","Мы оставляем наши деньги на период от 10 до 15 лет, и когда получаем их обратно, мы инвестируем их в другие инновации, которые направлены на перемены."
89,"So it turned out that this was a very productive time in gene therapy, and lots of viruses were coming along.","Это было продуктивное время в генной терапии, вирусы стали использовать для доставки генетического материала."
90,"Put them all together, and put all this under kind of natural selection, under mutation, and rewarded things for how well they can move forward.","Поместим всё это в условия естественного отбора, мутации и наград, в зависимости от того, как хорошо они могут двигаться вперёд."
91,We use a really simple paper parachute — simple things are best — that allows the package to come to the ground gently and reliably in the same place every time.,"Мы используем простые бумажные парашюты — ведь всё гениальное просто, — чтобы обеспечить мягкое и точное приземление груза — каждый раз в одно и то же место."
92,"We subverted that principle of game design, collapsing the choices in on the player so that they discover for themselves that there is nothing that they can do that will change the outcome for Joel.","Мы разрушили этот принцип дизайна игр, отключив возможность выбора для игроков, таким образом они узнаю́т, что в игре они ничем не могут изменить исход для Джоэла."
93,"The really sad thing is, in many parts of the world, we're raised to believe that strangers are dangerous by default, that we can't trust them, that they might hurt us.","Но самое грустное в том, что во многих частях мира мы воспитаны верить, что незнакомцы опасны по умолчанию, что им нельзя доверять, что они могут навредить нам."
94,"This is a picture of President Barack Obama and his advisors, tracking the killing of Osama bin Laden.","Это фото Президента США Барака Обамы и его советников, которые следят за убийством Осама бин Ладена."
95,"I'm thrilled to be here tonight to share with you something we've been working on for over two years, and it's in the area of additive manufacturing, also known as 3D printing.","Я очень рад быть здесь сегодня вечером, чтобы поделиться с вами тем, над чем мы работали более двух лет в области аддитивного производства, также известного как 3D-печать."
96,Because they're focused on honoring what is most beautiful about our past and building it into the promise of our future.,Потому что они были сосредоточены чтить только самое красивое из нашего прошлого и выстроить из него надежду нашего будущего.
97,"I draw with a simple pencil, and at first, the Parkinson's was really upsetting, because I couldn't get the pencil to stand still.","Я рисую простым карандашом, и в первое время болезнь Паркинсона мне досаждала, потому что я не способен был удержать карандаш в одном положении."
98,"Friends of mine had founded a film festival, and I thought, if we think of the stories and narratives of movies, we should also think of the narratives of the people that watch them.","Мои друзья основали кинофестиваль, и я подумал, если нас интересуют истории и сценарии фильмов, нас также должны интересовать истории смотрящих их людей."
99,"And we're getting to the point where we're seeing the fully-functioning low-carbon economy is not just about getting people onto the grid, it's about getting people onto electricity and doing it in a way that's really dignified.","И в итоге мы начинаем осознавать, что суть такого вида экономики заключается не в том, чтобы подключить всех жителей к энергосети, а в том, чтобы обеспечить каждую семью электричеством, делая это достойным способом."
100,"So like me, at 22, a few of you may have also taken wrong turns and fallen in love with the wrong person, maybe even your boss.","Как и я, некоторые из вас в 22 года, вероятно, тоже свернули не на тот путь и влюбились в того, в кого не следовало; может, даже в своего начальника."
101,"It's a part of the space that's accessible to animals; since we are animals, we are a subset of that.","Это часть пространства доступная для животных поскольку мы тоже являемся животными, мы здесь подсистема."
102,"When temperatures rise sharply, you can see those bad ones, those aphids, all over the plants — in your hibiscus, in your lantana, in the young, fresh foliage of the so-called spring flush.","Можно заметить этих вредителей, тлю, по всем растениям, на гибискусе, на лантане, на молодой, свежей листве весенних побегов."
